,Unnamed: 0,Study no.,Filename,Title,Doi,Study id.,index,title,publication_type,n_citations,volume,issue,first_page,last_page,n_pages
0,0,1,1. Aid and Growth journals.xlsx,German aid and trade versus Namibian GDP and labour productivity,https://doi.org/10.1080/000368498325679,1,10.1080/000368498325679,German aid and trade versus Namibian GDP and labour productivity,full_text,21,30,5,689,695,6
1,19,5,1. Aid and Growth journals.xlsx,"Aid, Policies, and Growth",DOI: 10.1257/aer.90.4.847,2177,10.1257/aer.90.4.847,"Aid, Policies, and Growth",full_text,1705,90,4,847,868,21
2,31,6,1. Aid and Growth journals.xlsx,"Aid, policies, and growth: reply",DOI: 10.1257/0002828041464524,2725,10.1257/0002828041464524,"Aid, Policies, and Growth: Reply",full_text,86,94,3,781,784,3
3,81,10,1. Aid and Growth journals.xlsx,Aid allocation and poverty reduction,https://doi.org/10.1016/S0014-2921(01)00187-8,4824,10.1016/S0014-2921(01)00187-8,Aid allocation and poverty reduction,full_text,532,46,8,1475,1500,25
4,85,11,1. Aid and Growth journals.xlsx,"Aid, policy and growth in post-conflict societies",https://doi.org/10.1016/j.euroecorev.2003.11.005,5331,10.1016/j.euroecorev.2003.11.005,"Aid, policy and growth in post-conflict societies",full_text,208,48,5,1125,1145,20
5,99,13,1. Aid and Growth journals.xlsx,On the empirics of foreign aid and growth,https://doi.org/10.1111/j.1468-0297.2004.00219.x,6317,10.1111/j.1468-0297.2004.00219.x,On the Empirics of Foreign Aid and Growth,full_text,406,114,496,F191,F216,25
6,166,20,1. Aid and Growth journals.xlsx,Does foreign aid distort incentives and hurt growth?,https://doi.org/10.1007/s11127-007-9239-9,9493,10.1007/s11127-007-9239-9,Does foreign aid distort incentives and hurt growth? Theory and evidence from 75 aid-recipient countries,full_text,52,134,3-4,463,488,25
7,279,34,1. Aid and Growth journals.xlsx,Aid and growth regressions,https://doi.org/10.1016/S0304-3878(00)00150-4,14655,10.1016/S0304-3878(00)00150-4,Aid and growth regressions,full_text,529,64,2,547,570,23
8,307,37,1. Aid and Growth journals.xlsx,Can the two new aid-growth models be replicated?,DOI: 10.1007/s11127-006-0865-4,15561,10.1007/s11127-006-0865-4,Can the two new aid-growth models be replicated?,full_text,28,127,1-2,147,175,28
9,332,39,1. Aid and Growth journals.xlsx,Effective aid: How democracy allows development aid to improve the quality of life,https://doi.org/10.1016/S0305-750X(02)00177-8,16156,10.1016/S0305-750X(02)00177-8,Effective Aid: How Democracy Allows Development Aid to Improve the Quality of Life,full_text,163,31,1,1,22,21
